Title,Author,Rating,Ratings count,Reviews count,Pages,First published,Cover image,book_url,Genre
The Wicked King,Holly Black,4.32,"592,173 ratings","57,070 reviews","336 pages, ebook","First published January 8, 2019",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1520620414i/26032887.jpg,https://www.goodreads.com/book/show/26032887-the-wicked-king,Fantasy
New Moon,Stephenie Meyer,3.58,"1,825,895 ratings","55,161 reviews","563 pages, Hardcover","First published September 6, 2006",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630592760i/49041.jpg,https://www.goodreads.com/book/show/49041.New_Moon,Fantasy
Circe,Madeline Miller,4.25,"901,287 ratings","89,085 reviews","393 pages, Hardcover","First published April 10, 2018",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1565909496i/35959740.jpg,https://www.goodreads.com/book/show/35959740-circe,Fantasy
City of Ashes,Cassandra Clare,4.12,"899,209 ratings","35,261 reviews","453 pages, Hardcover","First published August 7, 2008",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432730356i/1582996.jpg,https://www.goodreads.com/book/show/1582996.City_of_Ashes,Fantasy
Eldest,Christopher Paolini,4.02,"419,903 ratings","10,969 reviews","704 pages, Paperback","First published August 23, 2005",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387119654i/45978.jpg,https://www.goodreads.com/book/show/45978.Eldest,Fantasy
Eclipse,Stephenie Meyer,3.72,"1,719,216 ratings","43,057 reviews","629 pages, Hardcover","First published August 7, 2007",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361038355i/428263.jpg,https://www.goodreads.com/book/show/428263.Eclipse,Fantasy
The House in the Cerulean Sea,T.J. Klune,4.43,"488,742 ratings","81,323 reviews","394 pages, Kindle Edition","First published March 16, 2020",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1569514209i/45047384.jpg,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,Fantasy
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,3.92,"1,207,922 ratings","65,663 reviews","352 pages, Hardcover","First published June 7, 2011",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1623449170i/9460487.jpg,https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children,Fantasy
The Amber Spyglass,Philip Pullman,4.10,"348,589 ratings","12,936 reviews","465 pages, Mass Market Paperback","First published October 10, 2000",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329189152i/18122.jpg,https://www.goodreads.com/book/show/18122.The_Amber_Spyglass,Fantasy
The Poppy War,R.F. Kuang,4.17,"191,883 ratings","31,771 reviews","545 pages, ebook","First published May 1, 2018",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1515691735i/35068705.jpg,https://www.goodreads.com/book/show/35068705-the-poppy-war,Fantasy
The Thief,Megan Whalen Turner,3.86,"82,926 ratings","9,805 reviews","280 pages, Paperback","First published October 31, 1996",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427740839i/448873.jpg,https://www.goodreads.com/book/show/448873.The_Thief,Fantasy
Breaking Dawn,Stephenie Meyer,3.73,"1,620,096 ratings","51,860 reviews","756 pages, Hardcover","First published August 2, 2008",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361039438i/1162543.jpg,https://www.goodreads.com/book/show/1162543.Breaking_Dawn,Fantasy
An Ember in the Ashes,Sabaa Tahir,4.26,"273,478 ratings","32,342 reviews","446 pages, Paperback","First published April 28, 2015",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1519425615i/27774758.jpg,https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes,Fantasy
The Graveyard Book,Neil Gaiman,4.15,"516,079 ratings","37,946 reviews","312 pages, Hardcover","First published September 30, 2008",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531295292i/2213661.jpg,https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,Fantasy
City of Glass,Cassandra Clare,4.28,"930,956 ratings","33,233 reviews","541 pages, Hardcover","First published March 24, 2009",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1369452339i/3777732.jpg,https://www.goodreads.com/book/show/3777732-city-of-glass,Fantasy
Queen of Shadows,Sarah J. Maas,4.57,"518,224 ratings","37,399 reviews","645 pages, Hardcover","First published September 1, 2015",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673566810i/76707900.jpg,https://www.goodreads.com/book/show/76707900-queen-of-shadows,Fantasy
The Blade Itself,Joe Abercrombie,4.20,"223,639 ratings","13,717 reviews","515 pages, Paperback","First published May 4, 2006",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1284167912l/944073.jpg,https://www.goodreads.com/book/show/944073.The_Blade_Itself,Fantasy
Prince Caspian,C.S. Lewis,3.98,"417,376 ratings","10,684 reviews","240 pages, Hardcover","First published October 15, 1951",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1308814880i/121749.jpg,https://www.goodreads.com/book/show/121749.Prince_Caspian,Fantasy
Clockwork Angel,Cassandra Clare,4.31,"802,824 ratings","40,337 reviews","479 pages, Hardcover","First published August 31, 2010",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1454962884i/7171637.jpg,https://www.goodreads.com/book/show/7171637-clockwork-angel,Fantasy
The Great Hunt,Robert Jordan,4.26,"297,684 ratings","9,303 reviews","705 pages, Mass Market Paperback","First published November 15, 1990",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659905799i/233649.jpg,https://www.goodreads.com/book/show/233649.The_Great_Hunt,Fantasy
