Title,Author,Rating,Ratings count,Reviews count,Pages,First published,Cover image,book_url,Genre
The Restaurant at the End of the Universe,Douglas Adams,4.21,274566,7875,250,1980,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1521213881i/8695.jpg,https://www.goodreads.com/book/show/8695.The_Restaurant_at_the_End_of_the_Universe,Science Fiction
Cinder,Marissa Meyer,4.13,876551,66274,400,2012,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507557775i/36381037.jpg,https://www.goodreads.com/book/show/36381037-cinder,Science Fiction
The Martian Chronicles,Ray Bradbury,4.15,250922,10396,182,1950,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661016554i/76778.jpg,https://www.goodreads.com/book/show/76778.The_Martian_Chronicles,Science Fiction
Red Rising,Pierce Brown,4.26,346250,34058,382,2014,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1461354651i/15839976.jpg,https://www.goodreads.com/book/show/15839976-red-rising,Science Fiction
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.09,1314466,36485,275,1969,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981.jpg,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Science Fiction
Dune Messiah,Frank Herbert,3.89,243837,11942,337,1969,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1577043824i/44492285.jpg,https://www.goodreads.com/book/show/44492285-dune-messiah,Science Fiction
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.85,1489409,53844,260,1818,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085.jpg,https://www.goodreads.com/book/show/35031085-frankenstein,Science Fiction
Snow Crash,Neal Stephenson,4.02,270710,11582,559,1992,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1589842551i/40651883.jpg,https://www.goodreads.com/book/show/40651883-snow-crash,Science Fiction
Speaker for the Dead,Orson Scott Card,4.09,247259,8707,382,1986,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1295660894i/7967.jpg,https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,Science Fiction
Speaker for the Dead,Orson Scott Card,4.09,247259,8707,382,1986,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1295660894i/7967.jpg,https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,Science Fiction
The Giver,Lois Lowry,4.12,2315636,75886,208,1993,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636.jpg,https://www.goodreads.com/book/show/3636.The_Giver,Science Fiction
Old Man's War,John Scalzi,4.23,187134,11345,318,2005,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1509467059i/36510196.jpg,https://www.goodreads.com/book/show/36510196-old-man-s-war,Science Fiction
Foundation and Empire,Isaac Asimov,4.22,193944,4755,256,1952,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391454612i/29581.jpg,https://www.goodreads.com/book/show/29581.Foundation_and_Empire,Science Fiction
"The Long Way to a Small, Angry Planet",Becky Chambers,4.18,129919,19485,518,2014,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405532474i/22733729.jpg,https://www.goodreads.com/book/show/22733729-the-long-way-to-a-small-angry-planet,Science Fiction
A Wrinkle in Time,Madeleine L'Engle,3.99,1162248,38208,218,1962,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,Science Fiction
Second Foundation,Isaac Asimov,4.27,175780,3945,256,1953,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661015922i/29580.jpg,https://www.goodreads.com/book/show/29580.Second_Foundation,Science Fiction
"Life, the Universe and Everything",Douglas Adams,4.18,225244,4673,224,1982,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333577589i/8694.jpg,https://www.goodreads.com/book/show/8694.Life_the_Universe_and_Everything,Science Fiction
Artemis,Andy Weir,3.69,249003,25858,305,2017,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1494273579i/34928122.jpg,https://www.goodreads.com/book/show/34928122-artemis,Science Fiction
Annihilation,Jeff VanderMeer,3.75,210506,23185,195,2014,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403941587i/17934530.jpg,https://www.goodreads.com/book/show/17934530-annihilation,Science Fiction
Starship Troopers,Robert A. Heinlein,4.01,220089,6982,264,1959,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1614054412i/17214.jpg,https://www.goodreads.com/book/show/17214.Starship_Troopers,Science Fiction
The Forever War,Joe Haldeman,4.14,160632,7039,278,1974,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386852511i/21611.jpg,https://www.goodreads.com/book/show/21611.The_Forever_War,Science Fiction
